event	desc	period	MALE_x	FEMALE_x	MALE_y	FEMALE_y
death	DEATH ANY CAUSE	1	0.5662177328843996	0.7193473193473193	0.43378226711560042	0.28065268065268067
death	DEATH ANY CAUSE	2	0.16498316498316498	0.21631701631701633	0.70862239841427155	0.69928710304601416
death	DEATH ANY CAUSE	3	0.0813692480359147	0.12867132867132866	0.50680272108843538	0.40517241379310354
angina	CHEST PAIN	1	0.803030303030303	0.8648018648018648	0.19696969696969702	0.13519813519813517
angina	CHEST PAIN	2	0.17564534231200898	0.2261072261072261	0.78127183787561139	0.73854447439353099
angina	CHEST PAIN	3	0.08417508417508418	0.12913752913752913	0.52076677316293929	0.42886597938144333
hospmi	SURVIVABLE HEART ATTACK	1	0.8389450056116723	0.9468531468531468	0.16105499438832771	0.05314685314685319
hospmi	SURVIVABLE HEART ATTACK	2	0.17676767676767677	0.23916083916083916	0.78929765886287628	0.74741506646971934
hospmi	SURVIVABLE HEART ATTACK	3	0.08305274971941638	0.13053613053613053	0.53015873015873016	0.45419103313840159
mi_fchd	SURVIVABLE/FATAL HEART ATTACK	1	0.7502805836139169	0.9030303030303031	0.24971941638608308	0.096969696969696928
mi_fchd	SURVIVABLE/FATAL HEART ATTACK	2	0.1722783389450056	0.2344988344988345	0.77038145100972333	0.7403200826019618
mi_fchd	SURVIVABLE/FATAL HEART ATTACK	3	0.08305274971941638	0.13006993006993006	0.51791530944625408	0.44532803180914515
anychd	ANY HEART DESEASE	1	0.6358024691358025	0.7892773892773893	0.36419753086419748	0.21072261072261067
anychd	ANY HEART DESEASE	2	0.16498316498316498	0.2177156177156177	0.7405119152691968	0.72415829887773187
anychd	ANY HEART DESEASE	3	0.08305274971941638	0.1282051282051282	0.49659863945578231	0.41113490364025695
stroke	STROKE	1	0.9001122334455668	0.9104895104895104	0.099887766554433211	0.089510489510489566
stroke	STROKE	2	0.18237934904601572	0.2344988344988345	0.79738154613466339	0.74244751664106501
stroke	STROKE	3	0.08529741863075196	0.13053613053613053	0.53230769230769237	0.44333996023856859
cvd	HEART ATTACK/STROKE	1	0.6492704826038159	0.806993006993007	0.35072951739618408	0.19300699300699298
cvd	HEART ATTACK/STROKE	2	0.1644219977553311	0.22517482517482518	0.74675885911840967	0.72097053726169846
cvd	HEART ATTACK/STROKE	3	0.08305274971941638	0.13006993006993006	0.49488054607508536	0.42236024844720499
hyperten	HYPERTENSIVE	1	0.2789001122334456	0.25594405594405595	0.72109988776655443	0.744055944055944
hyperten	HYPERTENSIVE	2	0.13524130190796857	0.16876456876456877	0.51509054325955739	0.34061930783242256
hyperten	HYPERTENSIVE	3	0.08080808080808081	0.11655011655011654	0.4024896265560165	0.30939226519337026
